CustomerID,Total_Purchases,Recency,Frequency,Monetary,Average_Spent,R_Score,F_Score,M_Score,RFM_Score,Customer_Type,Is_Returning
12346,1,326,1,77183.6,77183.6,1,1,4,114,Others,False
12347,7,2,7,4310.0,23.681318681318682,4,4,4,444,Loyal,True
12348,4,75,4,1797.24,57.97548387096774,2,3,4,234,Others,True
12349,1,19,1,1757.55,24.076027397260273,3,1,4,314,Others,False
12350,1,310,1,334.4,19.670588235294115,1,1,2,112,Others,False
12352,8,36,8,2506.04,29.482823529411764,3,4,4,344,Loyal,True
12353,1,204,1,89.0,22.25,1,1,1,111,Others,False
12354,1,232,1,1079.4,18.610344827586207,1,1,3,113,Others,False
12355,1,214,1,459.4,35.33846153846154,1,1,2,112,Others,False
12356,3,23,3,2811.43,47.65135593220339,3,3,4,334,Loyal,True
12357,1,33,1,6207.67,47.38679389312977,3,1,4,314,Others,False
12358,2,2,2,1168.06,61.47684210526315,4,2,3,423,Loyal,True
12359,4,58,4,6372.58,25.695887096774193,2,3,4,234,Others,True
12360,3,52,3,2662.06,20.63612403100775,2,3,4,234,Others,True
12361,1,287,1,189.9,18.990000000000002,1,1,1,111,Others,False
12362,10,3,10,5226.23,19.647481203007516,4,4,4,444,Loyal,True
12363,2,110,2,552.0,24.0,2,2,2,222,Others,True
12364,4,8,4,1313.1,15.448235294117646,4,3,3,433,Loyal,True
12365,2,291,2,641.38,29.153636363636362,1,2,2,122,Others,True
12367,1,4,1,168.9,15.354545454545455,4,1,1,411,Loyal,False
12370,4,51,4,3545.69,21.231676646706585,3,3,4,334,Loyal,True
12371,2,45,2,1887.96,29.96761904761905,3,2,4,324,Others,True
12372,3,72,3,1298.04,24.962307692307693,2,3,3,233,Others,True
12373,1,311,1,364.6,26.042857142857144,1,1,2,112,Others,False
12374,1,25,1,742.9300000000001,22.513030303030305,3,1,3,313,Others,False
12375,2,11,2,457.5,26.91176470588235,4,2,2,422,Loyal,True
12377,2,315,2,1628.12,21.144415584415583,1,2,3,123,Others,True
12378,1,130,1,4008.62,18.30420091324201,2,1,4,214,Others,False
12379,2,82,2,852.24,21.306,2,2,3,223,Others,True
12380,4,22,4,2724.81,26.200096153846154,3,3,4,334,Loyal,True
12381,5,5,5,1845.31,21.21045977011494,4,3,4,434,Loyal,True
12383,5,185,5,1850.56,18.69252525252525,1,3,4,134,Others,True
12384,2,29,2,585.27,21.676666666666666,3,2,2,322,Others,True
12386,2,338,2,401.9,40.19,1,2,2,122,Others,True
12388,6,16,6,2780.66,27.8066,4,4,4,444,Loyal,True
12390,1,80,1,549.84,17.1825,2,1,2,212,Others,False
12391,1,22,1,460.89,4.6089,3,1,2,312,Others,False
12393,4,72,4,1582.6000000000001,24.728125000000002,2,3,3,233,Others,True
12394,2,64,2,1272.48,47.12888888888889,2,2,3,223,Others,True
12395,12,19,12,3018.63,19.350192307692307,3,4,4,344,Loyal,True
12397,2,36,2,2409.9,19.126190476190477,3,2,4,324,Others,True
12398,1,46,1,1635.6599999999999,19.24305882352941,3,1,3,313,Others,False
12399,4,119,4,1108.65,18.790677966101697,2,3,3,233,Others,True
12401,1,303,1,84.3,16.86,1,1,1,111,Others,False
12402,1,323,1,225.6,20.509090909090908,1,1,1,111,Others,False
12403,1,50,1,427.7,85.53999999999999,3,1,2,312,Others,False
12405,1,149,1,1710.39,31.67388888888889,1,1,4,114,Others,False
12406,2,22,2,3415.3,32.52666666666667,3,2,4,324,Others,True
12407,5,50,5,1708.1200000000001,22.183376623376624,3,3,4,334,Loyal,True
12408,5,33,5,2888.55,27.51,3,3,4,334,Loyal,True
12409,3,79,3,11072.67,101.58412844036697,2,3,4,234,Others,True
12410,2,309,2,693.3299999999999,26.666538461538458,1,2,3,123,Others,True
12412,3,75,3,1226.88,20.112786885245903,2,3,3,233,Others,True
12413,3,67,3,758.1,19.95,2,3,3,233,Others,True
12414,3,217,3,562.41,31.244999999999997,1,3,2,132,Others,True
12415,21,24,21,124914.53,174.46163407821228,3,4,4,344,Loyal,True
12417,9,3,9,3649.1,19.005729166666665,4,4,4,444,Loyal,True
12418,1,113,1,668.58,19.664117647058823,2,1,2,212,Others,False
12420,1,64,1,600.39,20.70310344827586,2,1,2,212,Others,False
12421,4,16,4,807.04,17.93422222222222,4,3,3,433,Loyal,True
12422,3,96,3,803.5600000000001,20.604102564102565,2,3,3,233,Others,True
12423,8,1,8,1859.31,14.87448,4,4,4,444,Loyal,True
12424,2,163,2,1760.96,58.69866666666667,1,2,4,124,Others,True
12425,1,78,1,777.2,21.58888888888889,2,1,3,213,Others,False
12426,1,195,1,582.73,19.424333333333333,1,1,2,112,Others,False
12427,3,22,3,825.8,26.638709677419353,3,3,3,333,Loyal,True
12428,9,26,9,7956.46,27.062789115646257,3,4,4,344,Loyal,True
