StockCode,Stock,LastUpdated,Total_Sold,New_Stock
85123,11368,2025-05-20,0.0,11368.0
71053,6109,2025-06-07,0.0,6109.0
84406,18585,2025-06-09,0.0,18585.0
84029,16527,2025-06-03,0.0,16527.0
22752,6179,2025-06-01,0.0,6179.0
21730,1026,2025-06-07,0.0,1026.0
22633,8114,2025-05-31,0.0,8114.0
22632,17038,2025-06-12,0.0,17038.0
84879,19980,2025-05-30,0.0,19980.0
22745,4366,2025-05-23,0.0,4366.0
22748,16128,2025-06-05,0.0,16128.0
22749,5637,2025-06-02,0.0,5637.0
22310,16569,2025-05-19,0.0,16569.0
84969,6652,2025-05-30,0.0,6652.0
22623,13230,2025-05-18,0.0,13230.0
22622,8158,2025-05-27,0.0,8158.0
21754,19189,2025-05-16,0.0,19189.0
21755,17104,2025-05-16,0.0,17104.0
21777,12908,2025-05-31,0.0,12908.0
48187,11427,2025-06-04,0.0,11427.0
22960,15950,2025-06-13,0.0,15950.0
22913,13281,2025-05-23,0.0,13281.0
22912,10306,2025-05-18,0.0,10306.0
22914,3817,2025-05-30,0.0,3817.0
21756,3157,2025-06-09,0.0,3157.0
22728,13431,2025-06-03,0.0,13431.0
22727,19814,2025-05-29,0.0,19814.0
22726,19372,2025-06-10,0.0,19372.0
21724,198,2025-05-27,0.0,198.0
21883,2456,2025-06-09,0.0,2456.0
10002,6025,2025-05-20,0.0,6025.0
21791,9784,2025-05-28,0.0,9784.0
21035,5519,2025-05-22,0.0,5519.0
22326,17972,2025-05-27,0.0,17972.0
22629,968,2025-06-08,0.0,968.0
22659,6410,2025-05-30,0.0,6410.0
22631,2628,2025-06-12,0.0,2628.0
22661,4277,2025-05-17,0.0,4277.0
21731,19988,2025-06-13,0.0,19988.0
22900,11731,2025-06-10,0.0,11731.0
21913,12530,2025-05-20,0.0,12530.0
22540,5109,2025-05-21,0.0,5109.0
22544,16906,2025-06-08,0.0,16906.0
22492,16264,2025-05-16,0.0,16264.0
POST,5388,2025-05-24,0.0,5388.0
22086,19859,2025-06-09,0.0,19859.0
20679,18758,2025-06-12,0.0,18758.0
37370,6879,2025-05-28,0.0,6879.0
21871,4171,2025-06-05,0.0,4171.0
21071,6163,2025-05-20,0.0,6163.0
21068,4218,2025-06-03,0.0,4218.0
82483,19775,2025-06-04,0.0,19775.0
82486,16622,2025-06-14,0.0,16622.0
82482,7428,2025-06-04,0.0,7428.0
82494,4733,2025-05-16,0.0,4733.0
21258,1710,2025-06-08,0.0,1710.0
22114,19332,2025-06-07,0.0,19332.0
21733,10238,2025-06-03,0.0,10238.0
22386,17054,2025-06-01,0.0,17054.0
85099,8469,2025-05-28,0.0,8469.0
21033,9784,2025-05-21,0.0,9784.0
20723,10356,2025-06-04,0.0,10356.0
84997,12856,2025-05-23,0.0,12856.0
21094,663,2025-05-29,0.0,663.0
20725,18687,2025-05-25,0.0,18687.0
21559,16714,2025-05-22,0.0,16714.0
22352,11607,2025-05-18,0.0,11607.0
21212,17705,2025-06-03,0.0,17705.0
21975,13103,2025-06-01,0.0,13103.0
21977,7604,2025-06-14,0.0,7604.0
84991,4164,2025-05-28,0.0,4164.0
84519,3297,2025-05-21,0.0,3297.0
85183,547,2025-05-20,0.0,547.0
85071,10451,2025-05-19,0.0,10451.0
21931,18060,2025-05-24,0.0,18060.0
21929,17133,2025-06-13,0.0,17133.0
22961,11118,2025-05-24,0.0,11118.0
22139,6874,2025-05-24,0.0,6874.0
84854,17612,2025-06-10,0.0,17612.0
22411,13156,2025-05-19,0.0,13156.0
82567,494,2025-06-06,0.0,494.0
21672,9040,2025-06-04,0.0,9040.0
22774,12451,2025-05-23,0.0,12451.0
22771,1194,2025-06-11,0.0,1194.0
71270,11030,2025-05-31,0.0,11030.0
22262,19599,2025-05-24,0.0,19599.0
22637,12547,2025-06-02,0.0,12547.0
21934,13865,2025-06-12,0.0,13865.0
21169,4149,2025-05-23,0.0,4149.0
21166,4413,2025-06-01,0.0,4413.0
21175,16394,2025-05-24,0.0,16394.0
37444,14351,2025-06-03,0.0,14351.0
22083,14082,2025-06-06,0.0,14082.0
